[2022-03-31 09:46:40] open
[2022-03-31 09:46:40] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.depth.step0","ts":1648691200940}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.5min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.15min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.30min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.60min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.4hour","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1day","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1week","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.trade.detail","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.detail","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.depth.step0","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.1min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.5min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.15min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.30min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.60min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.4hour","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.1day","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.kline.1week","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.trade.detail","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"ethusdt","status":"ok","subbed":"market.ethusdt.detail","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.depth.step0","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.1min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.5min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.15min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.30min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.60min","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.4hour","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.1day","ts":1648691201041}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.kline.1week","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.trade.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"eosusdt","status":"ok","subbed":"market.eosusdt.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"ltcusdt","status":"ok","subbed":"market.ltcusdt.depth.step0","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"ltcusdt","status":"ok","subbed":"market.ltcusdt.kline.1min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"ltcusdt","status":"ok","subbed":"market.ltcusdt.kline.5min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"ltcusdt","status":"ok","subbed":"market.ltcusdt.kline.15min","ts":1648691201042}
